Game,GameNumber,Team,Goalie,TOI,xGF,xGA,xGF%
2019-10-13 CGY at S.J,1,CGY,Cam Talbot,45.45,1.59,0.9,63.76
2019-10-19 CGY at L.A,2,CGY,Cam Talbot,13.93333333,0.75,0.34,68.55
2019-10-20 CGY at ANA,3,CGY,Cam Talbot,52.9,2.19,1.82,54.58
2019-10-22 WSH at CGY,4,CGY,Cam Talbot,45.51666667,1.63,1.69,49.1
2019-11-03 CGY at WSH,5,CGY,Cam Talbot,50.4,2.28,1.93,54.22
2019-11-13 DAL at CGY,6,CGY,Cam Talbot,41.66666667,1.37,1.86,42.34
2019-11-17 CGY at VGK,7,CGY,Cam Talbot,53.8,1.65,3.06,34.99
2019-12-07 L.A at CGY,8,CGY,Cam Talbot,48.75,1.64,1.54,51.63
2019-12-10 CGY at ARI,9,CGY,Cam Talbot,54.25,1.52,2.15,41.31
2019-12-17 PIT at CGY,10,CGY,Cam Talbot,51.18333333,2.66,1.6,62.4
2019-12-23 CGY at MIN,11,CGY,Cam Talbot,52.63333333,1.65,1.83,47.38
2019-12-29 VAN at CGY,12,CGY,Cam Talbot,33.93333333,0.85,1.24,40.71
2020-01-02 NYR at CGY,13,CGY,Cam Talbot,46.63333333,1.22,1.37,47.08
2020-01-07 CGY at CHI,14,CGY,Cam Talbot,44.73333333,1.84,1.35,57.66
2020-01-09 MIN at CGY,15,CGY,Cam Talbot,49.93333333,1.9,3.28,36.76
2020-01-11 EDM at CGY,16,CGY,Cam Talbot,52.46666667,2.65,1.85,58.91
2020-01-28 STL at CGY,17,CGY,Cam Talbot,36.13333333,2.33,1.82,56.12
2020-02-01 EDM at CGY,18,CGY,Cam Talbot,15.78333333,0.54,1.71,24.08
2020-02-06 NSH at CGY,19,CGY,Cam Talbot,52.65,1.75,2.4,42.23
2020-02-13 CGY at ANA,20,CGY,Cam Talbot,47.23333333,2.88,2.02,58.79
2020-02-15 CHI at CGY,21,CGY,Cam Talbot,22.73333333,2,0.69,74.32
2020-02-17 ANA at CGY,22,CGY,Cam Talbot,47.31666667,3.23,1.92,62.64
2020-02-21 BOS at CGY,23,CGY,Cam Talbot,53.51666667,1.28,2,39.01
2020-03-01 CGY at FLA,24,CGY,Cam Talbot,52.71666667,1.98,1.44,57.99
2020-03-04 CBJ at CGY,25,CGY,Cam Talbot,55.3,1.61,1.98,44.81
2020-03-06 ARI at CGY,26,CGY,Cam Talbot,48.55,1.73,2.16,44.49
2019-10-03 CGY at COL,1,CGY,David Rittich,42.15,1.83,1.57,53.91
2019-10-05 VAN at CGY,2,CGY,David Rittich,40.53333333,1.51,1.16,56.62
2019-10-08 L.A at CGY,3,CGY,David Rittich,52.86666667,1.57,2.81,35.88
2019-10-10 CGY at DAL,4,CGY,David Rittich,47.31666667,1.6,1.7,48.5
2019-10-12 CGY at VGK,5,CGY,David Rittich,43.86666667,1.38,2.12,39.32
2019-10-15 PHI at CGY,6,CGY,David Rittich,46.96666667,1.33,0.98,57.62
2019-10-17 DET at CGY,7,CGY,David Rittich,45.4,2.76,1.87,59.63
2019-10-19 CGY at L.A,8,CGY,David Rittich,23.63333333,0.54,1.1,32.9
2019-10-24 FLA at CGY,9,CGY,David Rittich,51.63333333,1.61,2,44.58
2019-10-26 CGY at WPG,10,CGY,David Rittich,47.3,1.76,1.41,55.52
2019-10-29 CGY at CAR,11,CGY,David Rittich,49.58333333,1.61,1.84,46.73
2019-10-31 CGY at NSH,12,CGY,David Rittich,47.9,1.21,1.58,43.42
2019-11-02 CGY at CBJ,13,CGY,David Rittich,49.63333333,2.36,2.04,53.64
2019-11-05 ARI at CGY,14,CGY,David Rittich,40.86666667,1.86,1.67,52.65
2019-11-07 N.J at CGY,15,CGY,David Rittich,42.48333333,2.1,1.08,66.08
2019-11-09 STL at CGY,16,CGY,David Rittich,49.95,1.3,1.57,45.28
2019-11-16 CGY at ARI,17,CGY,David Rittich,44.16666667,1.57,0.87,64.27
2019-11-19 COL at CGY,18,CGY,David Rittich,52.56666667,1.68,2,45.66
2019-11-21 CGY at STL,19,CGY,David Rittich,51.35,1.74,2.15,44.63
2019-11-23 CGY at PHI,20,CGY,David Rittich,46.75,1.39,2.26,38.12
2019-11-25 CGY at PIT,21,CGY,David Rittich,51.38333333,1.5,1.75,46.04
2019-11-27 CGY at BUF,22,CGY,David Rittich,51.53333333,1.7,1.99,46.1
2019-11-30 OTT at CGY,23,CGY,David Rittich,52.35,2,2.18,47.9
2019-12-05 BUF at CGY,24,CGY,David Rittich,42.31666667,2.26,1.34,62.85
2019-12-09 CGY at COL,25,CGY,David Rittich,50.55,1.41,1.93,42.15
2019-12-12 TOR at CGY,26,CGY,David Rittich,49.81666667,2.14,2.01,51.56
2019-12-14 CAR at CGY,27,CGY,David Rittich,41.95,1.3,1.87,40.92
2019-12-19 MTL at CGY,28,CGY,David Rittich,53.15,2.04,2.76,42.55
2019-12-22 CGY at DAL,29,CGY,David Rittich,47.88333333,1.82,1.75,50.85
2019-12-27 CGY at EDM,30,CGY,David Rittich,53.96666667,1.62,1.64,49.61
2019-12-29 VAN at CGY,31,CGY,David Rittich,7.85,0.37,0.27,57.99
2019-12-31 CHI at CGY,32,CGY,David Rittich,50.91666667,2.17,1.9,53.22
2020-01-05 CGY at MIN,33,CGY,David Rittich,51.45,2.58,2.07,55.44
2020-01-13 CGY at MTL,34,CGY,David Rittich,45.03333333,1.79,2.17,45.17
2020-01-16 CGY at TOR,35,CGY,David Rittich,48.98333333,1.85,1.55,54.49
2020-01-18 CGY at OTT,36,CGY,David Rittich,50.51666667,3.18,1.45,68.71
2020-01-29 CGY at EDM,37,CGY,David Rittich,49.31666667,1.24,1.75,41.41
2020-02-01 EDM at CGY,38,CGY,David Rittich,31.86666667,1.09,1.34,44.71
2020-02-04 S.J at CGY,39,CGY,David Rittich,52.36666667,1.99,2.65,42.98
2020-02-08 CGY at VAN,40,CGY,David Rittich,45.2,2.91,1.62,64.17
2020-02-10 CGY at S.J,41,CGY,David Rittich,49.55,3.45,1.85,65.13
2020-02-12 CGY at L.A,42,CGY,David Rittich,48.28333333,2.29,2.75,45.42
2020-02-15 CHI at CGY,43,CGY,David Rittich,19.63333333,0.66,0.78,45.86
2020-02-23 CGY at DET,44,CGY,David Rittich,47.93333333,2.22,1.27,63.66
2020-02-25 CGY at BOS,45,CGY,David Rittich,53.68333333,1.63,1.6,50.54
2020-02-27 CGY at NSH,46,CGY,David Rittich,53.48333333,3.41,1.88,64.47
2020-02-29 CGY at T.B,47,CGY,David Rittich,43.43333333,0.9,1.94,31.67
2020-03-08 VGK at CGY,48,CGY,David Rittich,54.26666667,1.18,2.89,28.96
